Name,Edition (code),Price
"Aether Searcher","(cns)","$0.58"
"Aether Swooper","(aer)","$0.28"
"Aether Theorist","(kld)","$0.28"
"Aetherborn Marauder","(kld)","$0.37"
"Aetherflame Wall","(tsp)","$0.36"
"Aetherling","(dgm)","$0.70"
"Aetherplasm","(gpt)","$0.52"
"Aethershield Artificer","(m19)","$0.37"
"Aethersnipe","(mm2)","$0.37"
"Aethersquall Ancient","(kld)","$0.49"
"Aetherstorm Roc","(kld)","$0.49"
"Aetherstream Leopard","(aer)","$0.25"
"Aethertorch Renegade","(kld)","$0.37"
"Aeve, Progenitor Ooze","(mh2)","$0.52"
"Affa Guard Hound","(roe)","$0.37"
"Affa Protector","(ogw)","$0.25"
"Affectionate Indrik","(grn)","$0.37"
"Afflicted Deserter // Werewolf Ransacker","(dka)","$0.74"
"Agadeem Occultist","(wwk)","$0.74"
"Ageless Entity","(dst)","$0.93"
"Ageless Guardian","(stx)","$0.22"
"Ageless Sentinels","(scg)","$0.61"
"Agent of Acquisitions","(cns)","$0.37"
"Agent of Erebos","(jou)","$0.73"
"Agent of Horizons","(ths)","$0.28"
"Agent of Masks","(mm3)","$0.43"
"Agent of Shauku","(pcy)","$0.34"
"Agent of Stromgald","(all)","$0.36"
"Agent of Treachery","(m20)","$11.17"
"Agent of the Fates","(ths)","$0.65"
"Aggressive Mammoth","(m19)","$1.11"
"Agitator Ant","(c20)","$0.55"
"Agrus Kos, Wojek Veteran","(rav)","$0.73"
"Ahn-Crop Champion","(akh)","$0.37"
"Ahn-Crop Crasher","(akh)","$0.37"
"Ahn-Crop Invader","(war)","$0.30"
"Ainok Artillerist","(dtk)","$0.30"
"Ainok Bond-Kin","(ktk)","$0.34"
"Ainok Guide","(frf)","$0.30"
"Ainok Survivalist","(a25)","$0.33"
"Ainok Tracker","(ugin)","$0.61"
"Air Elemental","(xln)","$0.37"
"Air Servant","(m14)","$0.36"
"Air-Cult Elemental","(afr)","$0.22"
"Airdrop Aeronauts","(aer)","$0.37"
"Airdrop Condor","(ons)","$0.37"
"Aisling Leprechaun","(leg)","$2.76"
"Ajani's Chosen","(c15)","$0.74"
"Ajani's Comrade","(aer)","$0.37"
"Ajani's Pridemate","(ima)","$0.49"
"Ajani's Sunstriker","(m13)","$0.37"
"Akim, the Soaring Wind","(c20)","$0.74"
"Akiri, Fearless Voyager","(znr)","$0.73"
"Akiri, Line-Slinger","(c16)","$5.91"
"Akki Avalanchers","(chk)","$0.33"
"Akki Blizzard-Herder","(bok)","$0.37"
"Akki Coalflinger","(chk)","$0.37"
"Akki Drillmaster","(sok)","$0.34"
"Akki Raider","(bok)","$0.37"
"Akki Rockspeaker","(chk)","$0.34"
"Akki Underling","(sok)","$0.37"
"Akki Underminer","(chk)","$0.37"
"Akoum Battlesinger","(wwk)","$0.37"
"Akoum Boulderfoot","(roe)","$0.37"
"Akoum Flameseeker","(ogw)","$0.30"
"Akoum Hellhound","(znr)","$0.31"
"Akoum Stonewaker","(bfz)","$0.37"
"Akoum Warrior // Akoum Teeth","(znr)","$0.37"
"Akrasan Squire","(ala)","$0.39"
"Akroan Conscriptor","(bng)","$0.37"
"Akroan Crusader","(uma)","$0.37"
"Akroan Hoplite","(cn2)","$0.37"
"Akroan Horse","(c16)","$0.73"
"Akroan Jailer","(ori)","$0.30"
"Akroan Line Breaker","(jou)","$0.37"
"Akroan Mastiff","(jou)","$0.33"
"Akroan Phalanx","(bng)","$0.37"
"Akroan Sergeant","(ori)","$0.28"
"Akroan Skyguard","(bng)","$0.37"
"Akroma's Devoted","(lgn)","$0.43"
"Akroma, Angel of Fury","(cma)","$2.15"
"Akroma, Angel of Wrath","(a25)","$3.17"
"Akroma, Vision of Ixidor","(cmr)","$5.25"
"Akron Legionnaire","(5ed)","$0.56"
"Aku Djinn","(vis)","$5.93"
"Akuta, Born of Ash","(sok)","$0.68"
"Alabaster Kirin","(ktk)","$0.30"
"Alabaster Leech","(inv)","$0.64"
"Alabaster Mage","(m12)","$0.37"
"Alabaster Wall","(mmq)","$0.36"
"Alaborn Cavalier","(p02)","$0.52"
"Alaborn Musketeer","(p02)","$0.37"
"Alaborn Trooper","(p02)","$0.34"
"Alaborn Veteran","(p02)","$1.16"
"Alaborn Zealot","(p02)","$2.93"
"Albino Troll","(ddd)","$0.37"
"Alchemist's Apprentice","(avr)","$0.34"
"Alena, Kessig Trapper","(cmr)","$0.37"
"Alert Heedbonder","(iko)","$0.36"
"Alesha's Vanguard","(frf)","$0.30"
"Alesha, Who Smiles at Death","(frf)","$0.71"
"Alexi, Zephyr Mage","(pcy)","$0.74"
"Algae Gharial","(mm2)","$0.37"
"Alhammarret, High Arbiter","(ori)","$0.58"
"Alharu, Solemn Ritualist","(cmr)","$0.37"
"Ali Baba","(4ed)","$0.37"
"Ali from Cairo","(arn)","$726.16"
"Alibou, Ancient Witness","(c21)","$1.32"
"Alirios, Enraptured","(thb)","$0.37"
"Alley Grifters","(mmq)","$0.34"
"Alley Strangler","(aer)","$0.27"
"Allosaurus Rider","(csp)","$2.82"
"Allosaurus Shepherd","(jmp)","$103.72"
"Alloy Golem","(inv)","$0.37"
"Alloy Myr","(mm2)","$0.41"
"Alluring Siren","(m11)","$0.37"
"Almighty Brushwagg","(iko)","$0.30"
"Alms Beast","(gtc)","$0.44"
"Alms Collector","(c17)","$17.03"
"Alpha Kavu","(plist)","$0.37"
"Alpha Myr","(mrd)","$0.33"
"Alpha Tyrranax","(som)","$0.30"
"Alpine Grizzly","(ktk)","$0.36"
"Alpine Guide","(mh1)","$0.37"
"Alpine Houndmaster","(m21)","$0.41"
"Alpine Watchdog","(m21)","$0.37"
"Alrund, God of the Cosmos // Hakka, Whispering Raven","(khm)","$1.48"
"Alseid of Life's Bounty","(thb)","$0.73"
"Altac Bloodseeker","(m15)","$0.36"
"Altar Golem","(eve)","$0.73"
"Altered Ego","(soi)","$1.47"
"Amaranthine Wall","(dom)","$0.41"
"Amareth, the Lustrous","(cmr)","$0.73"
"Ambassador Oak","(a25)","$0.31"
"Ambitious Aetherborn","(kld)","$0.28"
"Ambitious Farmhand // Seasoned Cathar","(mid)","$0.37"
"Ambuscade Shaman","(dtk)","$0.37"
"Ambush Krotiq","(frf)","$0.31"
"Ambush Party","(hml)","$0.33"
"Ambush Viper","(isd)","$0.30"
"Ammit Eternal","(hou)","$0.74"
"Amoeboid Changeling","(h09)","$4.70"
"Amphibious Kavu","(pls)","$0.36"
"Amphin Cutthroat","(m12)","$0.30"
"Amphin Mutineer","(cmr)","$1.90"
"Amphin Pathmage","(m15)","$0.31"
"Amplifire","(rna)","$0.46"
"Ampryn Tactician","(ori)","$0.30"
"Amrou Kithkin","(4ed)","$0.28"
"Amrou Scout","(tsp)","$0.36"
"Amrou Seekers","(tsp)","$0.37"
"Amugaba","(ody)","$0.61"
"An-Havva Constable","(hml)","$0.59"
"Ana Battlemage","(plc)","$0.37"
"Ana Disciple","(apc)","$0.33"
"Anaba Ancestor","(hml)","$3.38"
"Anaba Bodyguard","(hml)","$0.36"
"Anaba Shaman","(hml)","$0.33"
"Anaba Spirit Crafter","(hml)","$7.34"
"Anaconda","(por)","$0.37"
"Anafenza, Kin-Tree Spirit","(dtk)","$2.15"
"Anafenza, the Foremost","(ktk)","$2.70"
"Anara, Wolvid Familiar","(cmr)","$0.37"
"Anarchist","(ody)","$0.37"
"Anavolver","(apc)","$0.65"
"Anax and Cymede","(ths)","$0.61"
"Anax, Hardened in the Forge","(thb)","$0.39"
"Ancestor's Chosen","(10e)","$1.11"
"Ancestor's Prophet","(ons)","$0.95"
"Ancestral Statue","(jmp)","$0.37"
"Ancient Brontodon","(xln)","$0.36"
"Ancient Carp","(dtk)","$0.30"
"Ancient Crab","(ogw)","$0.30"
"Ancient Greenwarden","(znr)","$16.41"
"Ancient Hellkite","(m11)","$0.65"
"Ancient Hydra","(nem)","$0.37"
"Ancient Kavu","(inv)","$0.36"
"Ancient Silverback","(m15)","$0.37"
"Ancient Spider","(pls)","$0.65"
"Ancient Stone Idol","(c18)","$6.65"
"Andradite Leech","(inv)","$0.64"
"Angel of Condemnation","(hou)","$1.05"
"Angel of Deliverance","(soi)","$0.55"
"Angel of Despair","(uma)","$1.48"
"Angel of Finality","(cma)","$0.89"
"Angel of Flight Alabaster","(isd)","$0.65"
"Angel of Glory's Rise","(avr)","$0.83"
"Angel of Grace","(rna)","$1.53"
"Angel of Invention","(kld)","$6.68"
"Angel of Invention","(kld)","$6.68"
"Angel of Jubilation","(avr)","$9.23"
"Angel of Mercy","(ima)","$0.36"
"Angel of Renewal","(bfz)","$0.37"
"Angel of Retribution","(tor)","$0.62"
"Angel of Salvation","(fut)","$0.71"
"Angel of Sanctions","(akh)","$1.11"
"Angel of Serenity","(cm2)","$1.79"
"Angel of Vitality","(m20)","$2.15"
"Angel of the Dawn","(m19)","$0.30"
"Angel of the Dire Hour","(c14)","$1.84"
"Angel of the God-Pharaoh","(hou)","$0.37"
"Angel's Herald","(ala)","$0.37"
"Angelfire Crusader","(apc)","$0.33"
"Angelheart Protector","(znr)","$0.22"
"Angelic Arbiter","(m11)","$2.18"
"Angelic Captain","(bfz)","$0.47"
"Angelic Curator","(mh2)","$0.36"
"Angelic Curator","(ulg)","$0.37"
"Angelic Field Marshal","(c14)","$9.86"
"Angelic Guardian","(g18)","$1.84"
"Angelic Overseer","(isd)","$2.76"
"Angelic Page","(a25)","$0.39"
"Angelic Protector","(ddc)","$0.49"
"Angelic Quartermaster","(vow)","$0.33"
"Angelic Skirmisher","(gtc)","$2.33"
"Angelic Wall","(10e)","$0.39"
"Anger","(uma)","$4.45"
"Angler Drake","(akh)","$0.37"
"Angler Turtle","(g18)","$1.39"
"Angrath's Ambusher","(rix)","$0.37"
"Angrath's Marauders","(xln)","$1.48"
"Angry Mob","(4ed)","$0.37"
"Angus Mackenzie","(leg)","$740.96"
"Animar, Soul of Elements","(a25)","$12.26"
"Animus of Predation","(cn2)","$0.37"
"Anje Falkenrath","(c19)","$2.95"
"Ankle Shanker","(c16)","$0.67"
"Annoyed Altisaur","(cmr)","$0.37"
"Anodet Lurker","(5dn)","$0.34"
"Anointed Chorister","(m21)","$0.28"
"Anointed Deacon","(xln)","$0.28"
"Anointer Priest","(akh)","$0.36"
"Anointer of Champions","(e01)","$0.40"
"Anointer of Valor","(cmr)","$0.27"
"Anowon, the Ruin Sage","(wwk)","$4.45"
"Ant Queen","(mm2)","$1.48"
"Anthousa, Setessan Hero","(pths)","$0.55"
"Anthroplasm","(ulg)","$0.71"
"Antler Skulkin","(eve)","$0.40"
"Anurid Barkripper","(jud)","$0.36"
"Anurid Brushhopper","(jud)","$0.67"
"Anurid Murkdiver","(ons)","$0.33"
"Anurid Scavenger","(tor)","$0.39"
"Anurid Swarmsnapper","(jud)","$0.41"
"Anvilwrought Raptor","(ths)","$0.36"
"Anya, Merciless Angel","(cm2)","$5.81"
"Apes of Rath","(tmp)","$0.37"
"Apex Altisaur","(c19)","$4.45"
"Apex Devastator","(cmr)","$13.03"
"Apex Hawks","(cns)","$0.34"
"Aphemia, the Cacophony","(thb)","$0.52"
"Aphetto Alchemist","(ons)","$5.76"
"Aphetto Dredging","(ons)","$0.44"
"Aphetto Exterminator","(lgn)","$0.37"
"Aphetto Grifter","(ons)","$0.39"
"Aphetto Runecaster","(scg)","$1.35"
"Aphetto Vulture","(ons)","$0.37"
"Apocalypse Demon","(hou)","$0.50"
"Apocalypse Hydra","(con)","$1.45"
"Apostle of Purifying Light","(m20)","$0.37"
"Apothecary Geist","(soi)","$0.28"
"Apothecary Initiate","(shm)","$0.36"
"Apprentice Necromancer","(uma)","$2.22"
"Apprentice Sharpshooter","(vow)","$0.24"
"Apprentice Sorcerer","(p02)","$0.73"
"Apprentice Wizard","(4ed)","$0.37"
"Aquamoeba","(tor)","$0.37"
"Aquamorph Entity","(plc)","$0.36"
"Aquastrand Spider","(dis)","$0.36"
"Aquus Steed","(rtr)","$0.36"
"Araba Mothrider","(sok)","$0.39"
"Arachnoid","(5dn)","$0.37"
"Arachnus Spinner","(mm3)","$0.44"
"Arashi, the Sky Asunder","(sok)","$1.10"
"Arashin Cleric","(frf)","$0.34"
"Arashin Foremost","(dtk)","$0.73"
"Arashin Sovereign","(dtk)","$0.52"
"Arashin War Beast","(ugin)","$0.68"
"Arasta of the Endless Web","(thb)","$1.67"
"Araumi of the Dead Tide","(cmr)","$0.39"
"Arbalest Elite","(m12)","$0.37"
"Arbiter of Knollridge","(cm2)","$0.59"
"Arbiter of the Ideal","(bng)","$0.58"
"Arbor Colossus","(ths)","$0.49"
"Arbor Elf","(a25)","$1.04"
"Arborback Stomper","(kld)","$0.37"
"Arborea Pegasus","(afr)","$0.22"
"Arboreal Grazer","(war)","$0.46"
"Arboretum Elemental","(grn)","$0.37"
"Arc Mage","(nem)","$0.37"
"Arc Runner","(m11)","$0.34"
"Arc-Slogger","(mrd)","$0.56"
"Arcades Sabboth","(chr)","$1.19"
"Arcades, the Strategist","(m19)","$4.70"
"Arcane Artisan","(bbd)","$1.79"
"Arcane Investigator","(afr)","$0.22"
"Arcane Savant","(cn2)","$0.59"
"Arcanis the Omnipotent","(c17)","$2.52"
"Arcbound Bruiser","(dst)","$0.36"
"Arcbound Crusher","(dst)","$1.99"
"Arcbound Fiend","(dst)","$0.46"
"Arcbound Hybrid","(dst)","$0.36"
"Arcbound Javelineer","(mh2)","$0.36"
"Arcbound Lancer","(dst)","$0.44"
"Arcbound Mouser","(mh2)","$0.30"
"Arcbound Overseer","(dst)","$6.22"
"Arcbound Prototype","(mh2)","$0.22"
"Arcbound Reclaimer","(dst)","$7.44"
"Arcbound Shikari","(mh2)","$0.37"
"Arcbound Slasher","(mh2)","$0.22"
"Arcbound Slith","(dst)","$0.70"
"Arcbound Stinger","(mma)","$0.37"
"Arcbound Tracker","(mh2)","$0.27"
"Arcbound Wanderer","(mma)","$0.37"
"Arcbound Whelp","(mh2)","$0.37"
"Arcbound Worker","(dst)","$0.59"
"Archaeomancer","(uma)","$0.53"
"Archaeomender","(jmp)","$0.37"
"Archangel","(c13)","$0.41"
"Archangel Avacyn // Avacyn, the Purifier","(soi)","$8.82"
"Archangel of Strife","(cma)","$1.16"
"Archangel of Thune","(ima)","$34.07"
"Archangel of Tithes","(ori)","$19.76"
"Ravenous Demon // Archdemon of Greed","(dka)","$0.53"
"Archdemon of Paliano","(cn2)","$0.68"
"Archdemon of Unx","(ala)","$0.50"
"Archelos, Lagoon Mystic","(cmr)","$0.59"
"Archers of Qarsi","(frf)","$0.31"
"Archers' Parapet","(ktk)","$0.34"
"Archetype of Aggression","(bng)","$1.27"
"Archetype of Courage","(bng)","$1.69"
"Archetype of Endurance","(fmb1)","$2.95"
"Archetype of Finality","(bng)","$1.48"
"Archetype of Imagination","(bng)","$1.99"
"Archfiend of Depravity","(e01)","$5.71"
"Archfiend of Despair","(bbd)","$63.86"
"Archfiend of Ifnir","(akh)","$2.77"
"Archfiend of Sorrows","(mh2)","$0.37"
"Archfiend's Vessel","(m21)","$0.73"
"Archipelagore","(iko)","$0.44"
"Architect of the Untamed","(kld)","$0.52"
"Archmage Emeritus","(stx)","$2.99"
"Archon of Absolution","(eld)","$0.43"
"Archon of Coronation","(cmr)","$1.48"
"Archon of Cruelty","(mh2)","$19.01"
"Archon of Falling Stars","(thb)","$0.37"
"Archon of Justice","(m12)","$0.74"
"Archon of Redemption","(wwk)","$0.55"
"Archon of Valor's Reach","(bbd)","$0.74"
"Archon of the Triumvirate","(gk2)","$0.50"
"Archway Angel","(rna)","$0.37"
"Archweaver","(rtr)","$0.37"
"Arclight Phoenix","(grn)","$13.31"
"Arctic Aven","(m13)","$0.37"
"Arctic Foxes","(ice)","$0.36"
"Arctic Merfolk","(pls)","$0.37"
"Arctic Nishoba","(csp)","$0.37"
"Arctic Wolves","(wth)","$0.37"
"Arcus Acolyte","(mh2)","$0.37"
"Ardenn, Intrepid Archaeologist","(cmr)","$0.82"
"Ardent Dustspeaker","(stx)","$0.30"
"Ardent Electromancer","(znr)","$0.22"
"Ardent Militia","(6ed)","$0.37"
"Ardent Recruit","(mbs)","$0.33"
"Ardent Soldier","(inv)","$0.36"
"Ardenvale Paladin","(eld)","$0.25"
"Arena Athlete","(ths)","$0.36"
"Arena Rector","(bbd)","$18.67"
"Arena Trickster","(thb)","$0.21"
"Argent Sphinx","(som)","$0.52"
"Argivian Archaeologist","(atq)","$409.03"
"Argivian Blacksmith","(atq)","$1.62"
"Argothian Elder","(usg)","$6.15"
"Argothian Pixies","(chr)","$0.33"
"Argothian Swine","(usg)","$0.36"
"Argothian Treefolk","(atq)","$2.02"
"Argothian Wurm","(usg)","$7.40"
"Arisen Gorgon","(m19)","$0.67"
"Arixmethes, Slumbering Isle","(c18)","$7.45"
"Arixmethes, Slumbering Isle","(2xm)","$7.04"
"Arjun, the Shifting Flame","(c15)","$5.78"
"Arlinn's Wolf","(war)","$0.30"
"Armada Wurm","(rtr)","$1.53"
"Armament Corps","(ktk)","$0.37"
"Armament Master","(zen)","$0.58"
"Armix, Filigree Thrasher","(cmr)","$0.37"
"Armor Sliver","(tmp)","$0.55"
"Armor Thrull","(fem)","$0.36"
"Armorcraft Judge","(kld)","$0.37"
"Armored Cancrix","(m11)","$0.28"
"Armored Galleon","(p02)","$1.48"
"Armored Griffin","(pc2)","$0.37"
"Armored Guardian","(inv)","$0.67"
"Armored Pegasus","(brb)","$0.37"
"Armored Skaab","(isd)","$0.34"
"Armored Skyhunter","(cmr)","$2.96"
"Armored Transport","(gtc)","$0.27"
"Armored Warhorse","(m12)","$0.34"
"Armored Whirl Turtle","(gs1)","$0.37"
"Armored Wolf-Rider","(dgm)","$0.30"
"Armorer Guildmage","(mir)","$0.33"
"Armory Guard","(rtr)","$0.28"
"Armory Veteran","(afr)","$0.22"
"Arms Dealer","(m13)","$0.44"
"Army Ants","(vis)","$0.49"
"Arni Brokenbrow","(khm)","$0.50"
"Arrogant Bloodlord","(roe)","$0.37"
"Arrogant Poet","(stx)","$0.22"
"Arrogant Vampire","(por)","$0.50"
"Arrogant Wurm","(tor)","$1.26"
"Arsenal Thresher","(arb)","$0.37"
"Artificer's Assistant","(dom)","$0.37"
"Artisan of Forms","(ths)","$0.52"
"Artisan of Kozilek","(uma)","$1.50"
"Arvad the Cursed","(dom)","$0.46"
"Aryel, Knight of Windgrace","(dom)","$0.74"
"Ascendant Evincar","(hop)","$1.48"
"Ascended Lawmage","(dgm)","$0.37"
"Ascending Aven","(ons)","$0.33"
"Ash Zealot","(rtr)","$0.74"
"Ashcloud Phoenix","(ktk)","$0.93"
"Ashcoat Bear","(tsp)","$0.64"
"Ashen Firebeast","(ody)","$0.64"
"Ashen Ghoul","(cst)","$0.70"
"Ashen Monstrosity","(bok)","$0.37"
"Ashen Rider","(ths)","$1.97"
"Ashen-Skin Zubera","(chk)","$0.37"
"Ashenmoor Cohort","(shm)","$0.34"
"Ashenmoor Gouger","(mm2)","$0.37"
"Ashenmoor Liege","(shm)","$7.40"
"Ashiok's Adept","(bng)","$0.37"
"Ashiok's Forerunner","(thb)","$0.52"
"Ashiok's Skulker","(war)","$0.28"
"Asmira, Holy Avenger","(mir)","$6.30"
"Asmoranomardicadaistinaculdacar","(mh2)","$2.68"
"Asphodel Wanderer","(ths)","$0.30"
"Aspiring Aeronaut","(ori)","$0.27"
"Assault Griffin","(gtc)","$0.28"
"Assault Zeppelid","(dis)","$0.33"
"Assembled Alphas","(emn)","$0.52"
"Assembly-Worker","(a25)","$0.30"
"Asylum Visitor","(soi)","$0.74"
"Atalya, Samite Master","(inv)","$1.10"
"Atarka Beastbreaker","(dtk)","$0.30"
"Atarka Efreet","(dtk)","$0.30"
"Atarka Pummeler","(dtk)","$0.37"
"Atarka, World Render","(c17)","$0.84"
"Atemsis, All-Seeing","(m20)","$0.61"
"Athreos, God of Passage","(jou)","$15.16"
"Athreos, Shroud-Veiled","(thb)","$6.21"
"Atog","(mrd)","$0.67"
"Atogatog","(ody)","$1.90"
"Atraxa, Praetors' Voice","(2xm)","$35.55"
"Atris, Oracle of Half-Truths","(thb)","$0.64"
"Attendant of Vraska","(grn)","$0.37"
"Attended Healer","(znr)","$0.37"
"Attended Knight","(m13)","$0.34"
"Atzocan Archer","(xln)","$0.37"
"Atzocan Seer","(rix)","$0.50"
"Audacious Infiltrator","(aer)","$0.25"
"Audacious Reshapers","(c21)","$0.67"
"Audacious Thief","(m20)","$0.31"
"Augmenting Automaton","(aer)","$0.25"
"Augur il-Vec","(fut)","$0.36"
"Augur of Bolas","(m13)","$0.44"
"Augur of Skulls","(fut)","$0.58"
"Augury Adept","(c13)","$0.73"
"Augury Owl","(m11)","$0.43"
"Augury Raven","(khm)","$0.28"
"Auntie's Snitch","(mma)","$0.39"
"Aura Gnarlid","(pc2)","$0.37"
"Aura Thief","(uds)","$18.64"
"Auramancer","(ody)","$0.36"
"Auratog","(tsb)","$0.77"
"Auratouched Mage","(pca)","$0.46"
"Aurelia, Exemplar of Justice","(grn)","$3.19"
"Aurelia, the Warleader","(v15)","$31.71"
"Auriok Bladewarden","(mrd)","$0.37"
"Auriok Champion","(5dn)","$42.33"
"Auriok Edgewright","(som)","$0.37"
"Auriok Glaivemaster","(dst)","$0.34"
"Auriok Replica","(som)","$0.31"
"Auriok Salvagers","(mma)","$0.64"
"Auriok Siege Sled","(dst)","$0.37"
"Auriok Sunchaser","(som)","$0.34"
"Auriok Survivors","(nph)","$0.37"
"Auriok Transfixer","(mrd)","$0.36"
"Auriok Windwalker","(5dn)","$0.76"
"Aurochs","(5ed)","$0.33"
"Aurochs Herd","(csp)","$0.33"
"Aurora Champion","(bbd)","$0.34"
"Aurora Eidolon","(dis)","$0.36"
"Aurora Griffin","(pls)","$0.37"
"Aurora Phoenix","(cmr)","$0.49"
"Auspicious Ancestor","(mir)","$5.75"
"Auspicious Starrix","(iko)","$0.74"
"Author of Shadows","(c21)","$1.48"
"Autochthon Wurm","(rav)","$3.25"
"Autumn Willow","(hml)","$4.03"
"Avacyn's Pilgrim","(isd)","$0.50"
"Avacyn, Angel of Hope","(ima)","$60.75"
"Avacyn, Guardian Angel","(m15)","$1.23"
"Avacynian Missionaries // Lunarch Inquisitors","(soi)","$0.37"
"Avacynian Priest","(isd)","$0.31"
"Avalanche Caller","(khm)","$0.30"
"Avalanche Riders","(tsb)","$0.99"
"Avalanche Tusker","(ktk)","$0.50"
"Avarax","(ema)","$0.34"
"Avaricious Dragon","(ori)","$2.83"
"Avatar of Discord","(gk2)","$0.73"
"Avatar of Fury","(cmd)","$0.71"
"Avatar of Hope","(pcy)","$0.77"
"Avatar of Might","(pcy)","$0.99"
"Avatar of Slaughter","(cma)","$4.43"
"Avatar of Will","(pcy)","$0.79"
"Avatar of Woe","(cn2)","$3.60"
"Avatar of the Resolute","(dtk)","$1.90"
"Aven Archer","(ody)","$0.37"
"Aven Augur","(fut)","$0.34"
"Aven Battle Priest","(ori)","$0.30"
"Aven Brigadier","(ons)","$1.81"
"Aven Cloudchaser","(9ed)","$0.33"
"Aven Envoy","(lgn)","$0.33"
"Aven Eternal","(war)","$0.31"
"Aven Farseer","(scg)","$0.36"
"Aven Fateshaper","(ons)","$0.37"
"Aven Fisher","(8ed)","$0.30"
"Aven Fleetwing","(m12)","$0.31"
"Aven Flock","(9ed)","$0.30"
"Aven Fogbringer","(jud)","$0.36"
